block_name,total_s1_evaluated,total_true_links,captured_true_links,blocking_recall,s2_true_links,s2_captured_links,s2_recall,s3_true_links,s3_captured_links,s3_recall,total_candidates,mean_candidates_per_s1,median_candidates_per_s1,p90_candidates_per_s1,p95_candidates_per_s1,p99_candidates_per_s1,max_candidates_per_s1,reduction_ratio,indexing_time_sec,query_time_sec,total_time_sec
BLOCK-NAME-EXACT-RAW,5000,17232,3741,0.21709610027855153,8318,1762,0.21182976677085838,8914,1979,0.22201032084361677,4303,0.8606,1.0,2.0,3.0,4.0,14,0.9999926590009554,1.309,0.016,1.325
BLOCK-NAME-EXACT-CLEAN,5000,17232,7520,0.436397400185701,8318,3725,0.4478239961529214,8914,3795,0.4257347991922818,10609,2.1218,2.0,4.0,6.0,13.010000000000218,27,0.9999819008461853,0.869,0.034,0.903
BLOCK-NAME-SORTED-TOKENS,5000,17232,7901,0.4585074280408542,8318,3916,0.47078624669391683,8914,3985,0.44704958492259367,11075,2.215,2.0,4.0,6.0,13.010000000000218,27,0.9999811058414085,0.916,0.036,0.952
BLOCK-NAME-RARE-TOKEN,5000,17232,10801,0.6267989786443825,8318,5276,0.6342870882423659,8914,5525,0.6198115324209109,151234,30.2468,9.0,77.0,98.0,161.0,176,0.9997419919475911,1.514,0.074,1.588
BLOCK-CHAR-BOUNDARY-4GRAM,5000,17232,9126,0.5295961002785515,8318,4520,0.5433998557345516,8914,4606,0.5167152793358761,18171,3.6342,2.0,6.0,12.0,30.01000000000022,79,0.9999689999317593,1.87,0.036,1.906
BLOCK-ADDR-EXACT,5000,17232,1450,0.08414577530176416,8318,1063,0.12779514306323636,8914,387,0.043414853040161544,1451,0.2902,0.0,1.0,2.0,3.0,5,0.9999975245666712,0.561,0.025,0.586
BLOCK-ADDR-POSTAL,5000,17232,785,0.045554781801299904,8318,378,0.045443616253907186,8914,407,0.045658514695983844,941,0.1882,0.0,0.0,1.0,5.0,10,0.9999983946362768,0.141,0.009,0.15
BLOCK-HYBRID-NAME-POSTAL,5000,17232,638,0.03702414113277623,8318,316,0.03798990141861024,8914,322,0.03612295265873906,638,0.1276,0.0,0.0,1.0,4.0,7,0.9999989115599837,1.254,0.05,1.304
BLOCK-HYBRID-NAME-NUMERIC,5000,17232,8781,0.509575208913649,8318,4322,0.5195960567444097,8914,4459,0.5002243661655822,9525,1.905,2.0,4.0,5.0,6.0,12,0.9999837501706019,1.402,0.058,1.46
BLOCK-TFIDF-WORD-TOP25,5000,17232,16210,0.9406917363045497,8318,7998,0.9615292137533061,8914,8212,0.9212474758806372,125000,25.0,25.0,25.0,25.0,25.0,25,0.999786747645694,5.676,2.118,7.794
