block_name,slice_name,total_true_links,captured_true_links,slice_recall
BLOCK-NAME-EXACT-RAW,overall,17232,3741,0.2171
BLOCK-NAME-EXACT-RAW,one_match,296,55,0.1858
BLOCK-NAME-EXACT-RAW,multi_match,16936,3686,0.2176
BLOCK-NAME-EXACT-RAW,us,10593,2671,0.2521
BLOCK-NAME-EXACT-RAW,india,6639,1070,0.1612
BLOCK-NAME-EXACT-RAW,s2_links,8318,1762,0.2118
BLOCK-NAME-EXACT-RAW,s3_links,8914,1979,0.222
BLOCK-NAME-EXACT-RAW,s2_only_entity,623,128,0.2055
BLOCK-NAME-EXACT-RAW,s3_only_entity,702,147,0.2094
BLOCK-NAME-EXACT-RAW,both_sources_entity,15907,3466,0.2179
BLOCK-NAME-EXACT-RAW,address_present,17232,3741,0.2171
BLOCK-NAME-EXACT-RAW,address_missing,0,0,0.0
BLOCK-NAME-EXACT-RAW,name_short,2585,824,0.3188
BLOCK-NAME-EXACT-RAW,name_long,14647,2917,0.1992
BLOCK-NAME-EXACT-CLEAN,overall,17232,7520,0.4364
BLOCK-NAME-EXACT-CLEAN,one_match,296,119,0.402
BLOCK-NAME-EXACT-CLEAN,multi_match,16936,7401,0.437
BLOCK-NAME-EXACT-CLEAN,us,10593,4828,0.4558
BLOCK-NAME-EXACT-CLEAN,india,6639,2692,0.4055
BLOCK-NAME-EXACT-CLEAN,s2_links,8318,3725,0.4478
BLOCK-NAME-EXACT-CLEAN,s3_links,8914,3795,0.4257
BLOCK-NAME-EXACT-CLEAN,s2_only_entity,623,263,0.4222
BLOCK-NAME-EXACT-CLEAN,s3_only_entity,702,289,0.4117
BLOCK-NAME-EXACT-CLEAN,both_sources_entity,15907,6968,0.438
BLOCK-NAME-EXACT-CLEAN,address_present,17232,7520,0.4364
BLOCK-NAME-EXACT-CLEAN,address_missing,0,0,0.0
BLOCK-NAME-EXACT-CLEAN,name_short,2585,1330,0.5145
BLOCK-NAME-EXACT-CLEAN,name_long,14647,6190,0.4226
BLOCK-NAME-SORTED-TOKENS,overall,17232,7901,0.4585
BLOCK-NAME-SORTED-TOKENS,one_match,296,125,0.4223
BLOCK-NAME-SORTED-TOKENS,multi_match,16936,7776,0.4591
BLOCK-NAME-SORTED-TOKENS,us,10593,5163,0.4874
BLOCK-NAME-SORTED-TOKENS,india,6639,2738,0.4124
BLOCK-NAME-SORTED-TOKENS,s2_links,8318,3916,0.4708
BLOCK-NAME-SORTED-TOKENS,s3_links,8914,3985,0.447
BLOCK-NAME-SORTED-TOKENS,s2_only_entity,623,274,0.4398
BLOCK-NAME-SORTED-TOKENS,s3_only_entity,702,302,0.4302
BLOCK-NAME-SORTED-TOKENS,both_sources_entity,15907,7325,0.4605
BLOCK-NAME-SORTED-TOKENS,address_present,17232,7901,0.4585
BLOCK-NAME-SORTED-TOKENS,address_missing,0,0,0.0
BLOCK-NAME-SORTED-TOKENS,name_short,2585,1349,0.5219
BLOCK-NAME-SORTED-TOKENS,name_long,14647,6552,0.4473
BLOCK-NAME-RARE-TOKEN,overall,17232,10801,0.6268
BLOCK-NAME-RARE-TOKEN,one_match,296,184,0.6216
BLOCK-NAME-RARE-TOKEN,multi_match,16936,10617,0.6269
BLOCK-NAME-RARE-TOKEN,us,10593,6997,0.6605
BLOCK-NAME-RARE-TOKEN,india,6639,3804,0.573
BLOCK-NAME-RARE-TOKEN,s2_links,8318,5276,0.6343
BLOCK-NAME-RARE-TOKEN,s3_links,8914,5525,0.6198
BLOCK-NAME-RARE-TOKEN,s2_only_entity,623,380,0.61
BLOCK-NAME-RARE-TOKEN,s3_only_entity,702,439,0.6254
BLOCK-NAME-RARE-TOKEN,both_sources_entity,15907,9982,0.6275
BLOCK-NAME-RARE-TOKEN,address_present,17232,10801,0.6268
BLOCK-NAME-RARE-TOKEN,address_missing,0,0,0.0
BLOCK-NAME-RARE-TOKEN,name_short,2585,1698,0.6569
BLOCK-NAME-RARE-TOKEN,name_long,14647,9103,0.6215
BLOCK-CHAR-BOUNDARY-4GRAM,overall,17232,9126,0.5296
BLOCK-CHAR-BOUNDARY-4GRAM,one_match,296,142,0.4797
BLOCK-CHAR-BOUNDARY-4GRAM,multi_match,16936,8984,0.5305
BLOCK-CHAR-BOUNDARY-4GRAM,us,10593,6076,0.5736
BLOCK-CHAR-BOUNDARY-4GRAM,india,6639,3050,0.4594
BLOCK-CHAR-BOUNDARY-4GRAM,s2_links,8318,4520,0.5434
BLOCK-CHAR-BOUNDARY-4GRAM,s3_links,8914,4606,0.5167
BLOCK-CHAR-BOUNDARY-4GRAM,s2_only_entity,623,321,0.5152
BLOCK-CHAR-BOUNDARY-4GRAM,s3_only_entity,702,346,0.4929
BLOCK-CHAR-BOUNDARY-4GRAM,both_sources_entity,15907,8459,0.5318
BLOCK-CHAR-BOUNDARY-4GRAM,address_present,17232,9126,0.5296
BLOCK-CHAR-BOUNDARY-4GRAM,address_missing,0,0,0.0
BLOCK-CHAR-BOUNDARY-4GRAM,name_short,2585,1432,0.554
BLOCK-CHAR-BOUNDARY-4GRAM,name_long,14647,7694,0.5253
BLOCK-ADDR-EXACT,overall,17232,1450,0.0841
BLOCK-ADDR-EXACT,one_match,296,29,0.098
BLOCK-ADDR-EXACT,multi_match,16936,1421,0.0839
BLOCK-ADDR-EXACT,us,10593,960,0.0906
BLOCK-ADDR-EXACT,india,6639,490,0.0738
BLOCK-ADDR-EXACT,s2_links,8318,1063,0.1278
BLOCK-ADDR-EXACT,s3_links,8914,387,0.0434
BLOCK-ADDR-EXACT,s2_only_entity,623,88,0.1413
BLOCK-ADDR-EXACT,s3_only_entity,702,28,0.0399
BLOCK-ADDR-EXACT,both_sources_entity,15907,1334,0.0839
BLOCK-ADDR-EXACT,address_present,17232,1450,0.0841
BLOCK-ADDR-EXACT,address_missing,0,0,0.0
BLOCK-ADDR-EXACT,name_short,2585,223,0.0863
BLOCK-ADDR-EXACT,name_long,14647,1227,0.0838
BLOCK-ADDR-POSTAL,overall,17232,785,0.0456
BLOCK-ADDR-POSTAL,one_match,296,13,0.0439
BLOCK-ADDR-POSTAL,multi_match,16936,772,0.0456
BLOCK-ADDR-POSTAL,us,10593,778,0.0734
BLOCK-ADDR-POSTAL,india,6639,7,0.0011
BLOCK-ADDR-POSTAL,s2_links,8318,378,0.0454
BLOCK-ADDR-POSTAL,s3_links,8914,407,0.0457
BLOCK-ADDR-POSTAL,s2_only_entity,623,26,0.0417
BLOCK-ADDR-POSTAL,s3_only_entity,702,36,0.0513
BLOCK-ADDR-POSTAL,both_sources_entity,15907,723,0.0455
BLOCK-ADDR-POSTAL,address_present,17232,785,0.0456
BLOCK-ADDR-POSTAL,address_missing,0,0,0.0
BLOCK-ADDR-POSTAL,name_short,2585,161,0.0623
BLOCK-ADDR-POSTAL,name_long,14647,624,0.0426
