s1_id,business_name,business_address,country,candidate_count,true_matches_count
S1-206029273,Pediatric Dentistry Pioneer Care Associates,"726 Garfield Avenue, Virginia Beach City, VA",US,249,2
S1-774877218,Pediatric Dentistry Associates LLC,"3319 Belle Avenue, Baltimore, MD",US,243,1
S1-684754134,Pediatric Dental Care Associates,"306 Graham Street, Prestonsburg, KY",US,238,4
S1-631310482,"Pediatric Dental Care Associates, Inc","Hackleburg, 2625 32, AL",US,236,1
S1-395709580,Pediatric Dentistry Care Associates Inc,"58 Claire Pass, Wilton, NY",US,232,0
S1-515772355,Pediatric Dentistry Rocky Center LLC,"21 Rolf Avenue, Chicopee, MA",US,225,6
S1-733962404,Pediatric Dental Partners,"167 Meadow View Lane, Worcester Township, PA",US,224,3
S1-240338842,Pediatric Dentistry Center LLC,"510 Central Drive, Unit 0112, Chattanooga, TN",US,222,3
S1-260704958,Pediatric Dentistry Center,"312 Charlestown Drive, Hendersonville, NC",US,218,0
S1-32916633,Pediatric Dentistry Partners Inc,"4614 14, Franklin, NY",US,218,4
S1-296877396,"Pediatric Dentistry Center, LLC","Marion, OH, 279 Pennsylvania Avenue",US,218,4
S1-1685176,Pediatric Dentistry Clinic Center,"1349 600, Wolcott, IN",US,213,4
S1-268522696,Internal Medicine Center Inc,"310 Maple Avenue, Smithtown, NY",US,212,5
S1-35142123,Internal Medicine Certified Partners Inc.,"79 94 Street, Brooklyn, NY",US,211,0
S1-890998220,Internal Medicine Center,"1827 Como Park Boulevard, Lancaster, NY",US,210,3
S1-147391148,Internal Medicine Center LLC,"1552 Johnsons Grove Maury City Road, Maury City, TN",US,210,0
S1-420600798,Internal Medicine Partners LLC,"12620 Harold Street, Portland, OR",US,203,4
S1-520697022,Internal Medicine Fresh Partners,"401 K Street, Unit 413, Washington, DC",US,202,4
S1-339114039,Pediatric Dentistry Patriot Clinic,"601 Fillmore Street, Unit 362, Phoenix, AZ",US,202,4
S1-997485314,Behavioral Health Center,"12020 Sunrise Boulevard, Unit #A203, Puyallup, WA",US,201,7
S1-283171445,Pediatric Dentistry Clinic Inc,"912 Lombardy Circle, Jonesboro, AR",US,200,4
S1-96554900,Behavioral Health Group,"4569 64th Place, Tulsa, OK",US,199,5
S1-265371128,Behavioral Health Group,"6616 Radcliff Court, Fayetteville, NC",US,197,1
S1-827327270,Internal Medicine Liberty Specialists L.L.C.,"79 Ravine Avenue, Bldg Basement, Yonkers, NY",US,196,5
S1-575361647,Pediatric Dentistry Clinic LLC,"378 Quaker Street, Newburgh, NY",US,195,0
