source1_id,source1_name,source1_address,target_id,target_name,target_address,country,failure_diagnosis
S1-820394674,Indu Trust,"1001 Wing-D, Rustomjee, Paramount 18Th Rd, Khar W, Mumbai, Maharashtra",S3-817289043,Indutrust.Com,"Door No 1001 Wing-d, Mumbai, MH",India,High lexical distance / severe noise / missing tokens
S1-188376045,Eastern International Private Limited,"H62/03, Sector 4, Nerul, Navi Mumbai, Thane, Maharashtra",S2-553252878,ईस्टर्न इंटरनेशनल प्राइवेट लिमिटेड,"Maharashtra, SECTOR 4, NERUL, HN 549 H62/03, THANE",India,High lexical distance / severe noise / missing tokens
S1-913313081,Pioneer Aura Inc.,"11822 Grapewood Drive, Houston, TX",S2-646221665,PIONEER ASRA INC.,"GRAPEWOOD DR, NULL, HOUSTON, TX",US,High lexical distance / severe noise / missing tokens
S1-913313081,Pioneer Aura Inc.,"11822 Grapewood Drive, Houston, TX",S2-785156635,Pioneer Aa Inc.,"GRAPEWOOD DR, NULL, HOUSTON, TX",US,High lexical distance / severe noise / missing tokens
S1-546490448,Pacific Alliance PC,"1376 1800th Street, Flat Rock, IL",S2-202062808,pacificalliance.com,"1387 1800TH ST, FLLAT ROCK CDP, IL",US,High lexical distance / severe noise / missing tokens
S1-111968014,Hitech Business Private Limited,"P- 88, Sector - B Metropolitan Co-Operative Housing Societ, Y Limited, Kolkata, Kolkata, Howrah, West Bengal",S2-47303626,হাইটেক বিজনেস প্রাইভেট লিমিটেড,"P- ##88, HOWRAH, West Bengal",India,High lexical distance / severe noise / missing tokens
S1-111968014,Hitech Business Private Limited,"P- 88, Sector - B Metropolitan Co-Operative Housing Societ, Y Limited, Kolkata, Kolkata, Howrah, West Bengal",S2-50049567,হাইটেক বিজনেস প্রাইভেট লিমিটেড,"P- ##88, HOWRAH, পশ্চিমবঙ্গ",India,High lexical distance / severe noise / missing tokens
S1-111968014,Hitech Business Private Limited,"P- 88, Sector - B Metropolitan Co-Operative Housing Societ, Y Limited, Kolkata, Kolkata, Howrah, West Bengal",S3-709433972,হাইটেক বিজনেস প্রাইভেট লিমিটেড,"P- 88, Kolkata, Howrah, WB",India,High lexical distance / severe noise / missing tokens
S1-741240598,I+ Affiliated LLC,"1268 Waterloo Road, Akron, OH",S3-316991877,I+ LLC Center,"Waterloo Rd, Akrn, Ohio",US,High lexical distance / severe noise / missing tokens
S1-735352327,North Impex,"P.No 24, Sf No.180/4A1A1, Sai Ajith Complex Ramakrishna Nagar, Near Railway Station, Hosur, Krishnagiri, Dharmapuri, Tamil Nadu",S3-447751396,நார்த் இம்பெக்ஸ்,"P.no 24, Dharmapuri, Western Region Coimbatore, தமிழ்நாடு",India,High lexical distance / severe noise / missing tokens
S1-977604588,Prime Construction Private Limited,"Flat At Dcm Building, 16, Barakhamba Road, New Delhi, Delhi, Central Delhi, Delhi",S3-970450374,प्राइम कंस्ट्रक्शन प्राइवेट लिमिटेड,"Flat At Dcm Building, Delhi, DL",India,High lexical distance / severe noise / missing tokens
S1-866451133,Ericha's Clean Home Improvements,"1498 Wagar Avenue, Lakewood, OH",S3-926014770,Erichascleanhome.Com,"Wagar Ave, Lakewood, Ohio",US,High lexical distance / severe noise / missing tokens
S1-730736555,Vaayuora Enterprises Private Limited,"1401, Oahfeo Workspace Impose, Tower 2, Dlf Corporate Greens, Sector-74 A, Narsinghpur, Gurgaon, Haryana",S3-753701027,Vaayuora Enterprises Parialte Limited,"Block F-##268 1401, Gurgaon, N/A, हरियाणा",India,High lexical distance / severe noise / missing tokens
S1-389753763,Hks Monks Limited,"Bangalore Rural, #24, N S Info City 2, Kvn Layout, Doddaballapura, Karnataka",S3-311512686,Hks Limited Services,,India,High lexical distance / severe noise / missing tokens
S1-307544739,2-Point,"IL, 4029 21st Street, Chicago",S2-240403817,2POINT.COM,"4029 TWENTY FIRST ST, CHICAGO, IL",US,High lexical distance / severe noise / missing tokens
S1-307544739,2-Point,"IL, 4029 21st Street, Chicago",S2-69290433,2-Póint,"CHICAGO, IL, 4029 TWENTY FIRST STREET",US,High lexical distance / severe noise / missing tokens
S1-307544739,2-Point,"IL, 4029 21st Street, Chicago",S3-579653524,2-P0int,"4029 21th St, Chicago, Illinois",US,High lexical distance / severe noise / missing tokens
S1-568791812,Behavioral Health Medicine LLC,"2476 Elmwood Avenue, Kenmore, NY",S3-218135855,Behavioral Héalth Medicine L.L.C.,"Elmwood Ave, Buffalo, New York",US,High lexical distance / severe noise / missing tokens
S1-638746857,Innovative Marketing Private Limited,"Plot No-546, Sabar Sahi, Rasulgarh, Bhubaneswar, Khordha, Orissa",S2-762309495,ଇନୋଭେଟିଭ୍ ମାର୍କେଟିଂ ପ୍ରାଇଭେଟ୍ ଲିମିଟେଡ୍,"PLOT NO-54, BHUBANESWAR, KHORDHA, Odisha",India,High lexical distance / severe noise / missing tokens
S1-638746857,Innovative Marketing Private Limited,"Plot No-546, Sabar Sahi, Rasulgarh, Bhubaneswar, Khordha, Orissa",S3-486683577,ଇନୋଭେଟିଭ୍ ମାର୍କେଟିଂ ପ୍ରାଇଭେଟ୍ ଲିମିଟେଡ୍,"Plot No-546, Bhubaneswar, Khordha, OD",India,High lexical distance / severe noise / missing tokens
S1-627938214,Sunrise Power,"Delhi, East Delhi, 61, 2Nd Floor, Vijay Block, Laxmi Nagar, East Delhi",S2-773958249,सनराइज पावर,"Delhi, 61., EAST DELHI",India,High lexical distance / severe noise / missing tokens
S1-627938214,Sunrise Power,"Delhi, East Delhi, 61, 2Nd Floor, Vijay Block, Laxmi Nagar, East Delhi",S2-899799796,सनराइज पावर,"61., EAST DELHI, दिल्ली",India,High lexical distance / severe noise / missing tokens
