error_type,source1_id,source1_name,source1_addr,target_id,target_name,target_addr,score,diagnosis
False_Positive,S1-523623802,Rocky Capital Partners,"526 228th Avenue, Sammamish, WA",S3-556785725,Rocky Capital Partners [L.L.C.],,0.9009,High lexical n-gram similarity on different corporate entities
False_Positive,S1-158948856,Royal Power Private Limited,"Siddha Weston, 9, Weston Strreet, 3Rd Floor, Suite No. 321, Kolkata, Kolkata, Howrah, West Bengal",S2-762237293,ROYAL PRIVATE POWER LIMITED,,0.8414,High lexical n-gram similarity on different corporate entities
False_Positive,S1-546281324,Saint Cathedral,"1405 Hayrocks Drive, St George City, UT",S3-298915401,Saint  Cathedral,"35285- Hill St, Pacific City, Oregon",0.8462,Same street number distractor with distinct business name
False_Positive,S1-331189225,Orthopedic Medicine LLC,"6112 Dodsworth Drive, Raleigh, NC",S2-399899507,Orthopedic Medicine LLC Services,,0.8840,High lexical n-gram similarity on different corporate entities
False_Positive,S1-331189225,Orthopedic Medicine LLC,"6112 Dodsworth Drive, Raleigh, NC",S2-32461760,Orthopedic Medicine Ltd,,0.9133,High lexical n-gram similarity on different corporate entities
False_Positive,S1-331189225,Orthopedic Medicine LLC,"6112 Dodsworth Drive, Raleigh, NC",S2-635098102,Orthopedic Medicine  LLC,,0.9636,High lexical n-gram similarity on different corporate entities
False_Positive,S1-949791361,Autism Assistance Network,"NY, Dryden, 318 Ringwood Road",S3-856285441,Autism Assistance Council  LLC,,0.7069,High lexical n-gram similarity on different corporate entities
False_Positive,S1-850317109,Sree Foundation,"No.40, Secretriat Colony Second Street Kellys, Chennai, Tamil Nadu",S3-730149437,Sree Foundation & Co,,0.9053,High lexical n-gram similarity on different corporate entities
False_Positive,S1-892347485,Lotus Foods,"25/1A, Serpentile Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-823867093,বালাজি সার্ভিসেস,"25, KOLKATA, HOWRAH, West Bengal",0.9931,Same street number distractor with distinct business name
False_Positive,S1-892347485,Lotus Foods,"25/1A, Serpentile Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-198255767,সান ইনফ্রা জেনারেল এলএলপি,"25, KOLKATA, HOWRAH, West Bengal",0.9851,Same street number distractor with distinct business name
False_Positive,S1-170148007,Orthopedic Partners,"34 Melrose Avenue, Dartmouth, MA",S2-442302377,ORTHOPEDIC  PARTNERS,"19 DARTMOUTH ST, BOSTON, MA",0.9890,Same street number distractor with distinct business name
False_Positive,S1-170148007,Orthopedic Partners,"34 Melrose Avenue, Dartmouth, MA",S2-708548922,Orth0pedic Partners,,0.6178,High lexical n-gram similarity on different corporate entities
False_Positive,S1-170148007,Orthopedic Partners,"34 Melrose Avenue, Dartmouth, MA",S3-876335138,ORTHOPEDIC PARTNERS LP Enterprises,,0.9363,High lexical n-gram similarity on different corporate entities
False_Positive,S1-711241305,Sai Agro Private Limited,"C/O. Changdeo N. Gadkar, H. No. 728, Maruti Mandir, Osmanabad, Maharashtra",S2-362764463,Sai Agro Private-Limited,,0.9695,High lexical n-gram similarity on different corporate entities
False_Positive,S1-376753506,Bangalore North Infra Limited,"No 269, Sri Venkatesvara Svami Nilayam, 7Th Cross Road, San Siri Residency Layout, Sathanur Village, Opp. Bsf Cedco Sts Campus Road, Bangalore North, Bangalore, Karnataka",S3-258515312,ltd bangalore north infra,"5Ac, 824, Hrbr Layout, Block 1 Extension, Bangalore North, Bangalore, KA",0.8269,Same street number distractor with distinct business name
False_Positive,S1-376753506,Bangalore North Infra Limited,"No 269, Sri Venkatesvara Svami Nilayam, 7Th Cross Road, San Siri Residency Layout, Sathanur Village, Opp. Bsf Cedco Sts Campus Road, Bangalore North, Bangalore, Karnataka",S2-930272452,Pvt Bangalore North Sons Industries Ltd.,"NO.#159, 7TH CROSS, P & T LAYOUT, THANISANDRA, BANGALORE NORTH, BANGALORE, Karnataka",0.9741,Same street number distractor with distinct business name
False_Positive,S1-376753506,Bangalore North Infra Limited,"No 269, Sri Venkatesvara Svami Nilayam, 7Th Cross Road, San Siri Residency Layout, Sathanur Village, Opp. Bsf Cedco Sts Campus Road, Bangalore North, Bangalore, Karnataka",S3-119060072,Bangalore North 5egiase  Private Limited,"No.0340, D Group Layout, 3Rd Main, 4Th Cross, Srigandada Kavalu, Bangalore North, Bangalore, KA",0.5525,High lexical n-gram similarity on different corporate entities
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-915202445,Kolkata Services LLP,"1-8, CAMAC STREET, KOLKATA, West Bengal",0.9682,Same street number distractor with distinct business name
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-362329289,Kolkata Services  Private Limited,"166 A SARAT GHOSH GARDEN ROAD KOLKATA, KOLKATA, KOLKATA, West Bengal",0.9837,Same street number distractor with distinct business name
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-252989755,Kolkata Solutions,"3 MEDGE LANE, KOLKATA, West Bengal",0.9941,High lexical n-gram similarity on different corporate entities
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-377661194,Kolkata Services,"PLOT NO AL/1/B/26, STREET NUMBER 22 ACTION AREA 1, NEW TOWN, KOLKATA, KOLKATA, West Bengal",0.9115,Same street number distractor with distinct business name
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-804128752,Kolkata-Pvt Ltd Ltd Services,"West Bengal, DOOR NO 18/1 MAHARISHI DEBENDRA ROAD 6TH FLOOR, ROOM NO. 101, KOLKATA",0.7022,Same street number distractor with distinct business name
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S3-332361882,Kolkata Clns Pvt Ltd,"7, Banga Sen Lane, Kolkata, Kolkata, Howrah, WB",0.9287,High lexical n-gram similarity on different corporate entities
False_Positive,S1-639585373,Kolkata Industries Private Limited,"14 Dhakuria, Kalibari Lane, Kolkata, Kolkata, Howrah, West Bengal",S2-334763858,Public Kolkata Apparels Exports [Limited],"14, M. G. ROAD, KOLKATA, KOLKATA, HOWRAH, West Bengal",0.9754,Same street number distractor with distinct business name
False_Positive,S1-442865600,Modern Solutions Private Limited,"71/7-A, 3Rd Floor, Satguru Ram Singh Road, New Delhi, West Delhi, Delhi",S3-944528113,Modern Enterprises Private Ltd,"B-37, North West Delhi, DL",0.7683,Common generic token collision with weak address match
False_Negative,S1-158948856,Royal Power Private Limited,"Siddha Weston, 9, Weston Strreet, 3Rd Floor, Suite No. 321, Kolkata, Kolkata, Howrah, West Bengal",S3-822281414,রয়্যাল পাওয়ার প্রাইভেট লিমিটেড,"Siddha Weston, Kolkata, Howrah, WB",0.0969,Cross-script transliteration gap (Indic vs Latin)
False_Negative,S1-797109158,Taylor Chemical Inc.,"706 Olive Avenue, Unit A, Warren, OH",S3-824613502,Taylor Inc. Center,,0.0036,Severely truncated / missing address evidence
False_Negative,S1-630779738,Red All Software Limited,"C-33, Ii Nd Floor Dhanraj Tower, Near Space Cinema, Jhotwa, Ra Road, Jaipur, Rajasthan",S3-340041997,redallsoftware.com,"C-##33, Jaipur, राजस्थान",0.1827,Domain name formatting discrepancy
False_Negative,S1-150884424,Charan Solutions Limited,"Olive O 407, Sjr Redwood Apartment Haralur Road, Ambalipura, Bangalore, Karnataka",S3-749161817,Shri Charan So1utions Limited,,0.0009,Severely truncated / missing address evidence
False_Negative,S1-185721921,Galaxy Agro Limited,"Level 6 Tower A, Business Bay Airport Road, Pune City, Pune, Maharashtra",S2-566922834,गैलेक्सी एग्रो लिमिटेड,"BLOCK A-71 LEVEL 6 TOWER A, PUNE CITY, PUNE, महाराष्ट्र",0.0087,Cross-script transliteration gap (Indic vs Latin)
False_Negative,S1-673628733,Silver Infotech Private Limited,"West Bengal, Block - C, Flat No. A/2 2Nd Floor, Kaikhali, Rajarhat Goplapur Mun, Icipality, Meena Green Complex, Kolkata, Parganas North",S3-749444482,Shri Silver Iiftoeoch Private Limited Limited,"Kolkata, Parganas North, পশ্চিমবঙ্গ, Meena Green Complex",0.0114,Severe address typographic distortion / high edit distance
