cohort_size,candidate_arm,model_name,total_candidate_pairs,cand_pair_precision,cand_pair_recall,cand_pr_auc,cand_roc_auc,recall_at_1,recall_at_3,recall_at_5,best_diagnostic_threshold,diagnostic_macro_f05,diagnostic_precision,diagnostic_recall,end_to_end_link_recall
75,ARM_B,Logistic_Regression,3314,0.8094,0.9811,0.9871,0.9979,0.2994,0.7588,0.8987,0.8,0.8971,0.9063,0.9057,0.9075
75,ARM_B,LightGBM_Classifier,3314,0.8662,0.9811,0.988,0.9981,0.3108,0.7709,0.9089,0.7,0.9162,0.9286,0.9122,0.9146
75,ARM_B,LightGBM_LambdaMART_Ranker,3314,0.8525,0.9848,0.9871,0.9982,0.3108,0.7664,0.9035,0.8,0.9188,0.9313,0.9079,0.9075
75,ARM_B,Deterministic_Baseline,3314,0.0,0.0,0.0797,0.5,0.1469,0.4371,0.6115,0.2,0.0267,0.0267,0.0267,0.0
75,ARM_C,Logistic_Regression,6299,0.7934,0.9743,0.9781,0.9959,0.2994,0.7703,0.919,0.8,0.9005,0.9053,0.9255,0.9253
75,ARM_C,LightGBM_Classifier,6299,0.8479,0.9632,0.9799,0.9976,0.3108,0.7778,0.9311,0.7,0.9192,0.9294,0.9266,0.9253
75,ARM_C,LightGBM_LambdaMART_Ranker,6299,0.8408,0.9706,0.9783,0.9977,0.3108,0.7824,0.921,0.8,0.9217,0.931,0.9224,0.9181
75,ARM_C,Deterministic_Baseline,6299,0.0,0.0,0.0432,0.5,0.0636,0.2279,0.343,0.2,0.0267,0.0267,0.0267,0.0
1000,ARM_B,Logistic_Regression,43575,0.8392,0.9912,0.9918,0.999,0.3349,0.7858,0.9297,0.8,0.9205,0.9267,0.9319,0.9374
1000,ARM_B,LightGBM_Classifier,43575,0.9061,0.9833,0.9918,0.9989,0.3363,0.786,0.9309,0.8,0.9334,0.9427,0.9289,0.9324
1000,ARM_B,LightGBM_LambdaMART_Ranker,43575,0.895,0.9857,0.9906,0.999,0.3358,0.7853,0.93,0.8,0.9361,0.9473,0.9265,0.9278
1000,ARM_B,Deterministic_Baseline,43575,0.0,0.0,0.0756,0.5,0.2006,0.5358,0.71,0.2,0.058,0.058,0.058,0.0
1000,ARM_C,Logistic_Regression,86698,0.8095,0.9895,0.9893,0.9992,0.3354,0.7937,0.9414,0.8,0.9166,0.9192,0.942,0.9475
1000,ARM_C,LightGBM_Classifier,86698,0.8956,0.9782,0.989,0.9989,0.3368,0.7923,0.9431,0.8,0.9344,0.9414,0.9363,0.9397
1000,ARM_C,LightGBM_LambdaMART_Ranker,86698,0.8859,0.9808,0.9875,0.9989,0.3363,0.7933,0.9417,0.8,0.9376,0.9466,0.9336,0.9348
1000,ARM_C,Deterministic_Baseline,86698,0.0,0.0,0.0385,0.5,0.0873,0.2585,0.3704,0.2,0.058,0.058,0.058,0.0
5000,ARM_B,Logistic_Regression,216672,0.8567,0.9893,0.9917,0.999,0.3369,0.7896,0.9359,0.8,0.9266,0.9332,0.9342,0.9437
5000,ARM_B,LightGBM_Classifier,216672,0.9188,0.9838,0.992,0.999,0.3376,0.7887,0.9356,0.8,0.9384,0.9481,0.9309,0.9377
5000,ARM_B,LightGBM_LambdaMART_Ranker,216672,0.9068,0.9847,0.9911,0.9989,0.3373,0.7888,0.9353,0.8,0.9388,0.9509,0.9252,0.9304
5000,ARM_B,Deterministic_Baseline,216672,0.0,0.0,0.0761,0.5,0.2075,0.5499,0.7255,0.2,0.0608,0.0608,0.0608,0.0
5000,ARM_C,Logistic_Regression,441420,0.826,0.9872,0.9891,0.9993,0.3375,0.7964,0.9466,0.8,0.921,0.924,0.9429,0.9538
5000,ARM_C,LightGBM_Classifier,441420,0.9081,0.9799,0.9894,0.9989,0.3383,0.7952,0.9466,0.8,0.9392,0.9465,0.9382,0.9458
5000,ARM_C,LightGBM_LambdaMART_Ranker,441420,0.897,0.9812,0.9884,0.9989,0.3382,0.7958,0.9464,0.8,0.9403,0.9499,0.9328,0.9388
5000,ARM_C,Deterministic_Baseline,441420,0.0,0.0,0.0379,0.5,0.0914,0.2596,0.3635,0.2,0.0608,0.0608,0.0608,0.0
25000,ARM_B,Logistic_Regression,1110672,0.8542,0.988,0.992,0.9991,0.337,0.789,0.935,0.8,0.9201,0.932,0.928,0.9413
25000,ARM_B,LightGBM_Classifier,1110672,0.9175,0.983,0.9918,0.9989,0.3375,0.7885,0.9352,0.8,0.9329,0.9452,0.9255,0.9356
25000,ARM_B,LightGBM_LambdaMART_Ranker,1110672,0.906,0.984,0.9909,0.9989,0.3372,0.7886,0.9351,0.8,0.9323,0.948,0.921,0.9281
25000,ARM_B,Deterministic_Baseline,1110672,0.0,0.0,0.0744,0.5,0.207,0.548,0.724,0.2,0.0568,0.0568,0.0568,0.0
25000,ARM_C,Logistic_Regression,2459053,0.824,0.986,0.989,0.9992,0.3372,0.796,0.946,0.8,0.9128,0.921,0.938,0.952
25000,ARM_C,LightGBM_Classifier,2459053,0.907,0.979,0.989,0.9989,0.338,0.795,0.9462,0.8,0.933,0.9418,0.9312,0.9443
25000,ARM_C,LightGBM_LambdaMART_Ranker,2459053,0.896,0.981,0.9879,0.9988,0.3381,0.7955,0.9461,0.8,0.9333,0.947,0.926,0.9372
25000,ARM_C,Deterministic_Baseline,2459053,0.0,0.0,0.0341,0.5,0.091,0.258,0.362,0.2,0.0568,0.0568,0.0568,0.0
