policy_name,policy_type,macro_f05,mean_precision,mean_recall,link_recall,singleton_f05,one_match_f05,multi_match_f05,pct_predicted_0,pct_predicted_1,pct_predicted_2,pct_predicted_3plus
GlobalThreshold(th=0.70),GlobalThresholdPolicy,0.9335653564558288,0.9422998760304024,0.9326633333333333,0.9380222841225627,0.8380281690140845,0.8454533595932094,0.9456046578822519,0.0514,0.075,0.17,0.7036
GlobalThreshold(th=0.75),GlobalThresholdPolicy,0.9360726887594554,0.9461801378033732,0.9302714285714286,0.934830547818013,0.852112676056338,0.8464684503141824,0.9474680503403345,0.0526,0.077,0.1706,0.6998
GlobalThreshold(th=0.80),GlobalThresholdPolicy,0.9379094907462724,0.9496510474492826,0.9266033333333333,0.9303621169916435,0.8661971830985915,0.8445741034483427,0.9487677645046728,0.0542,0.0784,0.1748,0.6926
"TopKThreshold(th=0.70, k=1)",TopKThresholdPolicy,0.683479933954934,0.985,0.3668052380952381,0.2719939647168059,0.8380281690140845,0.9324324324324325,0.6568777533426855,0.0514,0.9486,0.0,0.0
"TopKThreshold(th=0.75, k=1)",TopKThresholdPolicy,0.6839370768120768,0.9854,0.3673385714285714,0.2718779015784587,0.852112676056338,0.9290540540540541,0.6567161502399059,0.0526,0.9474,0.0,0.0
"TopKThreshold(th=0.75, k=2)",TopKThresholdPolicy,0.8473857660313541,0.9774,0.6176871428571429,0.5187441968430826,0.852112676056338,0.8626126126126126,0.8460623295980628,0.0526,0.077,0.8704,0.0
"TopKThreshold(th=0.75, k=3)",TopKThresholdPolicy,0.9088683822670278,0.9673333333333333,0.7827538095238095,0.7114670380687094,0.852112676056338,0.8516401016401016,0.916347611142459,0.0526,0.077,0.1706,0.6998
"TopKThreshold(th=0.80, k=3)",TopKThresholdPolicy,0.9091725463219271,0.9685333333333334,0.7807971428571429,0.7094359331476323,0.8661971830985915,0.8492434742434742,0.9159472088763726,0.0542,0.0784,0.1748,0.6926
"RelativeMargin(floor=0.70, multi=0.75, margin=0.05, k=3)",RelativeMarginPolicy,0.9114021398106538,0.9758333333333334,0.7702071428571429,0.7013695450324977,0.8380281690140845,0.8976380226380227,0.9170384263240756,0.0514,0.0972,0.1958,0.6556
"RelativeMargin(floor=0.70, multi=0.75, margin=0.08, k=3)",RelativeMarginPolicy,0.9105994554851752,0.9729666666666668,0.7744371428571428,0.7049094707520891,0.8380281690140845,0.8848175098175098,0.9169889806606095,0.0514,0.0902,0.1884,0.67
"RelativeMargin(floor=0.75, multi=0.80, margin=0.05, k=3)",RelativeMarginPolicy,0.9118592826677965,0.9762333333333334,0.7707404761904761,0.7012534818941504,0.852112676056338,0.8942596442596443,0.916876823221296,0.0526,0.096,0.1958,0.6556
"RelativeMargin(floor=0.75, multi=0.80, margin=0.08, k=5)",RelativeMarginPolicy,0.9421977120819878,0.9648399999999999,0.8953095238095237,0.8802228412256268,0.852112676056338,0.8801433948492772,0.9521416550983152,0.0526,0.0892,0.1882,0.67
"RelativeMargin(floor=0.78, multi=0.82, margin=0.06, k=3)",RelativeMarginPolicy,0.912011872806416,0.9755666666666668,0.7728538095238094,0.7027623026926648,0.8626760563380281,0.8844998844998845,0.917024298239845,0.0538,0.0926,0.192,0.6616
"AdaptiveRatio(floor=0.75, ratio=0.90, k=3)",AdaptiveRatioPolicy,0.9105339777439624,0.9720666666666667,0.7766938095238094,0.7062441968430826,0.852112676056338,0.8748556248556248,0.9166770641996711,0.0526,0.0866,0.1842,0.6766
"AdaptiveRatio(floor=0.75, ratio=0.85, k=3)",AdaptiveRatioPolicy,0.9101415963508455,0.9704333333333334,0.7793404761904762,0.7085074280408542,0.852112676056338,0.867117117117117,0.9167514287528419,0.0526,0.0822,0.1796,0.6856
"AdaptiveRatio(floor=0.80, ratio=0.90, k=3)",AdaptiveRatioPolicy,0.9105673110772957,0.9720666666666667,0.7767938095238095,0.7060120705663882,0.8661971830985915,0.8647204897204898,0.9164885272464283,0.0542,0.0852,0.184,0.6766
