feature_index,feature_name,ref_value,prod_value,abs_diff,status
0,name_exact_clean,1.0,1.0,0.0,PASS
1,name_compact_exact,1.0,1.0,0.0,PASS
2,name_token_jaccard,1.0,1.0,0.0,PASS
3,name_token_overlap_coeff,1.0,1.0,0.0,PASS
4,name_char_ngram_cosine,1.0,1.0,0.0,PASS
5,name_edit_similarity,1.0,1.0,0.0,PASS
6,name_prefix_match_len,1.0,1.0,0.0,PASS
7,name_length_ratio,1.0,1.0,0.0,PASS
8,name_first_token_match,1.0,1.0,0.0,PASS
9,name_sorted_token_jaccard,1.0,1.0,0.0,PASS
10,addr_exact_clean,0.0,0.0,0.0,PASS
11,addr_token_jaccard,0.5,0.5,0.0,PASS
12,addr_token_overlap_coeff,0.6666666865348816,0.6666666865348816,0.0,PASS
13,addr_char_ngram_cosine,0.7977240085601807,0.7977240085601807,0.0,PASS
14,addr_numeric_exact_match,1.0,1.0,0.0,PASS
15,addr_numeric_jaccard,1.0,1.0,0.0,PASS
16,addr_postal_match,0.0,0.0,0.0,PASS
17,addr_is_missing_either,0.0,0.0,0.0,PASS
18,country_exact_match,1.0,1.0,0.0,PASS
19,source_is_s2,1.0,1.0,0.0,PASS
20,source_is_s3,0.0,0.0,0.0,PASS
21,is_cross_script_pair,0.0,0.0,0.0,PASS
22,translit_name_token_jaccard,0.0,0.0,0.0,PASS
23,translit_name_char_ngram_cosine,0.0,0.0,0.0,PASS
24,is_domain_name_pair,0.0,0.0,0.0,PASS
25,domain_compact_match,1.0,1.0,0.0,PASS
26,leetspeak_exact_match,1.0,1.0,0.0,PASS
27,accent_stripped_match,1.0,1.0,0.0,PASS
28,shared_rare_token_count,3.0,3.0,0.0,PASS
29,min_shared_token_idf,5.0,5.0,0.0,PASS
30,retrieval_support_count,3.0,3.0,0.0,PASS
31,retrieved_by_exact_name,1.0,1.0,0.0,PASS
32,retrieved_by_sorted_name,1.0,1.0,0.0,PASS
33,retrieved_by_name_numeric,0.0,0.0,0.0,PASS
34,retrieved_by_char_ngram,0.0,0.0,0.0,PASS
35,retrieved_by_domain,1.0,1.0,0.0,PASS
36,retrieved_by_tfidf,1.0,1.0,0.0,PASS
37,tfidf_similarity_score,0.8799999952316284,0.8799999952316284,0.0,PASS
38,tfidf_rank,1.0,1.0,0.0,PASS
39,inter_name_x_addr_jaccard,0.5,0.5,0.0,PASS
40,inter_name_exact_x_addr_jaccard,0.5,0.5,0.0,PASS
41,inter_name_jaccard_x_country,1.0,1.0,0.0,PASS
42,inter_support_x_name_jaccard,1.3862943649291992,1.3862943649291992,0.0,PASS
